    5,000000e-01    4,730346e+07    3,298764e+11
    1,000000e+00    8,414710e-01   -2,788144e+01
    1,500000e+00    9,974950e-01    7,074667e-02
    2,000000e+00    9,092974e-01   -4,161468e-01
    2,500000e+00    5,984721e-01   -8,011436e-01
    3,000000e+00    1,411200e-01   -9,899925e-01
    3,500000e+00   -3,507832e-01   -9,364567e-01
    4,000000e+00   -7,568025e-01   -6,536436e-01
    4,500000e+00   -9,775301e-01   -2,107958e-01
    5,000000e+00   -9,589243e-01    2,836622e-01
    5,500000e+00   -7,055403e-01    7,086698e-01
    6,000000e+00   -2,794155e-01    9,601703e-01
    6,500000e+00    2,151200e-01    9,765856e-01
