    5,000000e-01    3,733770e-01    3,100850e-01
    1,000000e+00    3,095599e-01   -4,203536e-01
    1,500000e+00    1,051352e-01   -3,079499e-01
    2,000000e+00    1,665436e-02   -7,423945e-02
    2,500000e+00    1,155323e-03   -7,323186e-03
    3,000000e+00    1,741559e-05   -2,266709e-04
    3,500000e+00   -1,678539e-06    7,268691e-06
    4,000000e+00   -8,516690e-08    6,077813e-07
    4,500000e+00   -1,569159e-09    1,378421e-08
    5,000000e+00   -1,331749e-11    1,371166e-10
    5,500000e+00   -5,141783e-14    6,172557e-13
    6,000000e+00   -6,481106e-17    1,000480e-15
    6,500000e+00    9,632497e-20   -8,149318e-19
