    5,000000e-01    9,310437e-01   -7,885740e-01
    1,000000e+00    6,631053e-01   -3,746850e-01
    1,500000e+00    5,163347e-01   -2,309634e-01
    2,000000e+00    4,209165e-01   -1,576704e-01
    2,500000e+00    3,538245e-01   -1,140971e-01
    3,000000e+00    3,042807e-01   -8,597959e-02
    3,500000e+00    2,663645e-01   -6,683795e-02
    4,000000e+00    2,365201e-01   -5,327783e-02
    4,500000e+00    2,124835e-01   -4,336101e-02
    5,000000e+00    1,927497e-01   -3,591393e-02
    5,500000e+00    1,762831e-01   -3,019406e-02
    6,000000e+00    1,623498e-01   -2,571455e-02
    6,500000e+00    1,504172e-01   -2,214636e-02
